id;value;country;frequency;recency
12347;308.34;Other;7;2
12348;201.36;Other;1;358
12349;178.57;Other;1;18
12350;25.2;Other;1;310
12352;185.65;Other;5;80
12353;39.8;Other;1;204
12354;55.8;Other;1;232
12355;17.7;Other;1;214
12356;150.9;Other;2;245
12357;557.28;Other;1;33
12359;686.2;Other;5;7
12360;175.58;Other;3;52
12361;16.5;Other;1;287
12362;563.47;Other;10;3
12363;47.4;Other;2;109
12364;187.7;Other;3;7
12365;12.5;Other;1;291
12367;9.9;Other;1;4
12370;269.25;Other;3;51
12371;524.04;Other;2;44
12372;177;Other;3;71
12373;39;Other;1;311
12374;184.65;Other;1;25
12375;60.8;Other;2;10
12377;139.14;Other;2;315
12378;440.42;Other;1;129
12379;63.3;Other;2;81
12380;300.65;Other;4;21
12381;253.05;Other;4;4
12383;189.28;Other;4;238
12384;58.89;Other;3;28
12386;101.4;Other;1;366
12388;404.26;Other;5;75
12390;65.7;Other;1;79
12391;97.59;Other;1;21
12393;220;Other;3;72
12394;152.6;Other;2;63
12395;286.46;Other;10;19
12397;225.36;Other;2;35
12398;161.72;Other;1;45
12399;15;Other;1;213
12401;25.5;Other;1;303
12402;54.9;Other;1;323
12405;200.25;Other;1;148
12406;637.87;Other;2;22
12407;204.02;Other;4;134
12408;334.55;Other;5;32
12409;1485.84;Other;2;78
12410;66.6;Other;1;308
12412;282.06;Other;3;74
12413;18;Other;1;66
12414;19.8;Other;1;217
12415;13254.5;Other;16;24
12417;461.68;Other;9;3
12418;50.46;Other;1;112
12420;43.77;Other;1;63
12421;82.25;Other;3;15
12422;66.55;Other;2;168
12423;338.18;Other;7;0
12424;118;Other;1;162
12425;55.6;Other;1;78
12426;17.7;Other;1;194
12427;-25.38;Other;2;11
12428;906.47;Other;8;25
12429;290.1;Other;3;172
12430;76.56;Other;1;43
12431;461.17;Other;11;60
12432;654.78;Other;3;42
12433;1450.09;Other;6;0
12434;133.76;Other;2;84
12435;888.3;Other;2;79
12436;13.2;Other;1;99
12437;518.5;Other;11;9
12438;334.9;Other;2;14
12441;50.7;Other;1;366
12444;546.6;Other;3;21
12445;17.4;Other;1;22
12446;70.4;Other;1;57
12447;35.4;Other;1;243
12448;7.75;Other;1;44
12449;300.76;Other;4;22
12451;927.1;Other;6;10
12452;30.28;Other;2;16
12453;59.7;Other;1;134
12454;-809.12;Other;1;53
12455;296.6;Other;4;73
12456;530.56;Other;3;44
12457;151.05;Other;4;66
12458;143.76;Other;2;71
12461;132.15;Other;1;154
12462;75.73;Other;3;2
12463;109.22;Other;5;46
12464;117.3;Other;4;10
12465;81.6;Other;2;17
12468;118.45;Other;2;187
12471;2227.61;Other;23;2
12472;628.15;Other;9;31
12473;302.7;Other;4;53
12474;849.93;Other;15;17
12475;75.9;Other;1;53
12476;847.4;Other;12;1
12477;1732.81;Other;6;22
12478;50.64;Other;1;3
12479;91.55;Other;2;4
12480;271.4;Other;4;28
12481;421.8;Other;9;22
12483;405.38;Other;4;17
12484;502.89;Other;4;35
12488;171.2;Other;3;9
12489;48.75;Other;1;336
12490;699.94;Other;10;5
12491;44.5;Other;1;38
12492;38.04;Other;1;105
12493;59.08;Other;2;165
12494;98.53;Other;6;15
12497;105;Other;1;81
12498;42.7;Other;2;21
12500;771.39;Other;7;23
12501;330.79;Other;2;315
12502;602.1;Other;5;95
12504;102;Other;3;18
12507;193.5;Other;1;134
12508;10.25;Other;1;29
12510;46.4;Other;1;325
12512;21.4;Other;1;66
12513;61.8;Other;1;112
12514;15;Other;1;267
12516;250.5;Other;2;77
12517;315.15;Other;4;28
12518;264.28;Other;5;0
12519;17.7;Other;1;63
12520;335.56;Other;6;79
12521;109.72;Other;1;142
12522;14.85;Other;1;51
12523;236.76;Other;8;1
12524;223.12;Other;6;63
12526;50.1;Other;3;0
12527;23.44;Other;2;81
12528;246.68;Other;5;9
12530;104.12;Other;3;59
12531;5.9;Other;1;14
12532;47.7;Other;1;30
12534;85.5;Other;1;130
12535;119.3;Other;2;91
12536;567.71;Other;2;7
12538;15.9;Other;1;29
12539;645.7;Other;4;22
12540;2017.12;Other;15;19
12541;173.41;Other;3;29
12544;35.88;Other;1;36
12545;96.95;Other;2;75
12546;91.5;Other;1;46
12548;17.4;Other;1;166
12550;36.1;Other;1;79
12551;16.5;Other;1;357
12552;10.5;Other;1;39
12553;392.15;Other;9;9
12556;43.02;Other;2;50
12557;848.36;Other;4;158
12558;24.96;Other;2;1
12559;87.6;Other;1;319
12560;433.79;Other;4;5
12561;44.3;Other;1;302
12562;453.18;Other;7;8
12564;93.6;Other;1;261
12566;159.18;Other;1;86
12567;1447.68;Other;10;22
12569;478.3;Other;18;2
12571;86;Other;2;39
12572;97.96;Other;2;8
12573;22.95;Other;1;227
12576;152.5;Other;4;95
12577;92.53;Other;3;35
12578;350.5;Other;2;21
12579;83.97;Other;1;78
12580;71.1;Other;1;246
12581;18;Other;1;39
12582;27.12;Other;1;288
12583;957.23;Other;15;2
12584;356.5;Other;12;3
12585;85;Other;2;234
12587;83.2;Other;1;7
12589;101.94;Other;2;28
12590;1665.3;Other;1;211
12591;78.85;Other;1;317
12592;73.4;Other;1;92
12594;250;Other;6;46
12596;20.4;Other;1;51
12597;302.98;Other;4;32
12598;408.48;Other;7;9
12599;43.2;Other;4;29
12600;311.01;Other;6;28
12601;224.99;Other;5;189
12602;33.8;Other;1;58
12607;-17.75;Other;2;58
12609;178.32;Other;3;78
12610;471.1;Other;6;22
12611;165.14;Other;1;52
12612;89.7;Other;1;74
12613;282.12;Other;5;31
12615;381.46;Other;3;2
12616;43.8;Other;3;95
12617;29.95;Other;1;29
12618;40;Other;1;21
12619;469.76;Other;5;16
12620;119.02;Other;3;14
12621;1300.14;Other;16;1
12623;25.5;Other;1;276
12624;62.04;Other;2;106
12625;116.04;Other;2;211
12626;717.74;Other;10;23
12627;347.2;Other;6;10
12628;160.09;Other;3;4
12630;105.98;Other;2;9
12631;230.74;Other;1;57
12633;241.32;Other;4;58
12635;75.32;Other;2;89
12637;608.65;Other;7;67
12638;88.74;Other;1;33
12640;48.84;Other;1;81
12641;10.5;Other;1;115
12642;108.3;Other;3;25
12643;668.4;Other;3;128
12644;88.2;Other;1;129
12645;100.4;Other;4;33
12646;97.7;Other;2;4
12647;401.15;Other;10;22
12648;51.45;Other;1;154
12649;157.98;Other;3;107
12650;112.5;Other;1;3
12651;17.85;Other;1;334
12652;25.2;Other;1;331
12653;268.4;Other;2;148
12654;73.35;Other;4;37
12656;384.4;Other;5;17
12657;258.31;Other;3;11
12658;142.55;Other;1;18
12660;32.85;Other;1;11
12662;394.61;Other;10;0
12664;530.8;Other;3;58
12667;17.7;Other;1;58
12668;236.91;Other;6;7
12669;174.26;Other;2;150
12670;552;Other;5;10
12672;40.35;Other;1;329
12673;40.55;Other;2;5
12674;254.78;Other;4;38
12676;100;Other;2;260
12678;2271.36;Other;9;42
12679;226.66;Other;3;58
12680;108.6;Other;4;0
12681;1843.77;Other;20;14
12682;1222.64;Other;22;3
12683;1030.33;Other;15;4
12684;361.52;Other;6;7
12685;256.96;Other;6;28
12688;391.19;Other;1;113
12689;51.8;Other;2;25
12690;36.3;Other;1;205
12691;109.6;Other;1;58
12693;76.9;Other;4;120
12694;194.43;Other;2;70
12695;59.16;Other;3;66
12697;71.28;Other;3;28
12700;429.63;Other;5;7
12701;83.26;Other;2;79
12702;59.9;Other;1;19
12703;34.8;Other;1;71
12704;397.71;Other;6;22
12705;784.3;Other;9;15
12707;110.1;Other;1;291
12708;257.94;Other;10;60
12709;978.56;Other;14;15
12710;182.3;Other;2;96
12712;569;Other;8;28
12713;138.82;Other;1;0
12714;344.85;Other;5;9
12715;20.8;Other;1;106
12716;117.9;Other;1;133
12717;210.45;Other;2;151
12718;29.4;Other;1;71
12719;102.25;Other;2;5
12720;691.48;Other;17;2
12721;232.12;Other;5;31
12722;156.63;Other;3;85
12723;103.58;Other;3;16
12724;38.8;Other;2;81
12725;73.25;Other;1;371
12726;364.62;Other;6;28
12727;347.92;Other;6;10
12728;48;Other;2;71
12729;71.9;Other;1;113
12731;2435.35;Other;11;23
12732;17.7;Other;1;179
12734;46.8;Other;1;352
12735;54;Other;1;315
12738;18;Other;1;372
12740;68.2;Other;1;63
12743;90.43;Other;2;134
12744;1759.6;Other;6;51
12747;227.53;United Kingdom;5;2
12748;1809.79;United Kingdom;144;0
12749;676.54;United Kingdom;5;3
12750;50.9;Other;1;128
12752;94.56;Other;1;81
12753;3174.92;Other;9;3
12754;6.3;Other;2;277
12757;-1359.65;Other;8;28
12758;313.2;Other;2;116
12759;189.1;Other;3;52
12762;123.36;Other;1;7
12763;87;Other;1;138
12764;165.65;Other;1;316
12766;783.63;Other;7;3
12769;144.75;Other;1;238
12772;140.45;Other;1;59
12775;74.63;Other;3;17
12778;72.84;Other;3;63
12779;496.39;Other;6;37
12781;102.6;Other;2;63
12782;183.36;Other;5;4
12783;-88.34;Other;5;2
12784;40.5;Other;1;15
12785;12.5;Other;1;364
12787;49.8;Other;2;91
12790;97.92;Other;1;192
12791;15;Other;1;373
12792;72.9;Other;1;256
12793;104.6;Other;2;334
12794;105.48;Other;2;53
12795;77.95;Other;1;18
12797;30;Other;1;365
12798;414.72;Other;1;170
12802;48.7;Other;1;186
12808;40.3;Other;2;36
12811;143.1;Other;3;260
12812;34.5;Other;1;44
12815;105.6;Other;2;147
12816;25.05;Other;2;95
12817;139;Other;1;281
12818;77.5;Other;1;261
12820;113.8;United Kingdom;4;3
12821;10.2;United Kingdom;1;214
12822;25.2;United Kingdom;1;70
12823;459;United Kingdom;1;254
12824;10.2;United Kingdom;1;59
12826;174.5;United Kingdom;5;71
12827;89.31;United Kingdom;2;32
12828;52.95;United Kingdom;3;65
12829;13.5;United Kingdom;1;336
12830;780.48;United Kingdom;2;37
12831;50.95;United Kingdom;1;262
12832;17.85;United Kingdom;1;32
12833;16.35;United Kingdom;1;145
12834;72.3;United Kingdom;1;282
12836;340.28;United Kingdom;4;59
12837;17;United Kingdom;1;173
12838;100.83;United Kingdom;2;33
12839;401.95;United Kingdom;11;2
12840;341.3;United Kingdom;4;143
12841;247.39;United Kingdom;20;4
12842;165.78;United Kingdom;2;70
12843;101.4;United Kingdom;6;159
12844;9.77;United Kingdom;2;29
12845;215;United Kingdom;3;268
12847;85.29;United Kingdom;1;22
12849;50.45;United Kingdom;2;31
12851;11.9;United Kingdom;1;96
12852;58.05;United Kingdom;1;294
12853;155.78;United Kingdom;4;134
12854;223.6;United Kingdom;4;78
12855;10.2;United Kingdom;1;372
12856;282.68;United Kingdom;6;7
12857;139.25;United Kingdom;2;210
12863;59.4;United Kingdom;1;52
12865;188.32;Other;2;26
12866;37.5;Other;1;283
12867;469.32;United Kingdom;8;26
12868;256.96;United Kingdom;6;185
12872;60.75;United Kingdom;2;326
12875;293.76;United Kingdom;1;362
12876;151.06;Other;2;57
12877;206.7;United Kingdom;7;24
12878;87.6;United Kingdom;2;236
12879;52.11;United Kingdom;3;44
12881;36.8;United Kingdom;1;275
12882;145.8;United Kingdom;1;33
12883;81.19;United Kingdom;3;24
12885;180.65;United Kingdom;2;63
12886;162.68;United Kingdom;2;67
12888;25.2;United Kingdom;1;255
12890;42.02;United Kingdom;1;24
12893;20.88;United Kingdom;1;30
12895;32.4;United Kingdom;1;86
12897;87.7;United Kingdom;2;204
12901;1866.72;United Kingdom;12;43
12904;45.56;United Kingdom;2;18
12906;195.81;United Kingdom;3;11
12909;102.54;United Kingdom;6;39
12910;351.36;United Kingdom;5;23
12912;309.96;United Kingdom;2;8
12913;183.42;United Kingdom;3;15
12915;26.3;United Kingdom;2;148
12916;199.1;United Kingdom;4;138
12919;92.34;United Kingdom;4;16
12920;0.75;United Kingdom;1;17
12921;2245.39;United Kingdom;33;9
12922;21.84;United Kingdom;1;161
12923;4.58;United Kingdom;1;64
12924;0.83;United Kingdom;1;88
12925;95.28;United Kingdom;2;4
12928;104.3;United Kingdom;3;35
12929;17;United Kingdom;1;311
12930;11.8;United Kingdom;3;78
12931;4369.42;United Kingdom;6;30
12933;55.42;United Kingdom;3;24
12935;207.37;United Kingdom;6;2
12936;167.11;United Kingdom;2;17
12937;152.56;United Kingdom;3;15
12939;1445;United Kingdom;4;79
12940;89.62;United Kingdom;2;54
12942;113.29;United Kingdom;3;131
12944;128;United Kingdom;2;35
12945;17;United Kingdom;1;288
12947;159.59;United Kingdom;5;143
12948;208.73;United Kingdom;4;59
12949;370.9;United Kingdom;5;30
12950;179;United Kingdom;1;8
12951;113.5;United Kingdom;4;8
12952;51.63;United Kingdom;4;5
12953;41.5;United Kingdom;1;9
12955;621.75;United Kingdom;11;1
12956;28.35;United Kingdom;1;306
12957;365.76;United Kingdom;6;9
12962;35.4;United Kingdom;1;7
12963;157.95;United Kingdom;6;8
12965;82.31;United Kingdom;1;89
12966;35.6;United Kingdom;1;9
12967;147.8;United Kingdom;3;3
12970;47.16;United Kingdom;2;7
12971;975.25;United Kingdom;34;3
12976;26.1;United Kingdom;1;211
12980;1117.26;United Kingdom;2;176
12981;17.4;United Kingdom;1;133
12982;25.2;United Kingdom;1;242
12985;185.58;United Kingdom;2;0
