InvoiceNo;StockCode;Description;Quantity;Date;UnitPrice;CustomerID;Country
567323;21932;SCANDINAVIAN PAISLEY PICNIC BAG;1;20110919;1.65;17557;United Kingdom
564849;22192;BLUE DINER WALL CLOCK;4;20110830;8.5;17675;United Kingdom
545587;84991;60 TEATIME FAIRY CAKE CASES;3;20110304;0.55;14796;United Kingdom
555323;22385;JUMBO BAG SPACEBOY DESIGN;1;20110602;4.13;;United Kingdom
569852;21790;VINTAGE SNAP CARDS;12;20111006;0.85;13771;United Kingdom
539091;21741;COSY SLIPPER SHOES LARGE GREEN;6;20101216;2.95;13756;United Kingdom
569136;79191B;RETRO PLASTIC POLKA TRAY;2;20110930;0.85;15834;United Kingdom
556728;22841;ROUND CAKE TIN VINTAGE GREEN;1;20110614;7.95;15719;United Kingdom
550799;22382;LUNCH BAG SPACEBOY DESIGN ;10;20110420;1.65;17115;United Kingdom
560991;23290;SPACEBOY CHILDRENS BOWL;8;20110722;1.25;12438;Norway
559162;20768;GREEN FERN JOURNAL ;1;20110706;2.46;;United Kingdom
570713;22697;GREEN REGENCY TEACUP AND SAUCER;6;20111012;2.95;17064;United Kingdom
577078;23493;VINTAGE DOILY TRAVEL SEWING KIT;2;20111117;3.29;;United Kingdom
565324;84988;SET OF 72 PINK HEART PAPER DOILIES;1;20110902;1.45;13232;United Kingdom
570637;20712;JUMBO BAG WOODLAND ANIMALS;10;20111011;2.08;12530;Germany
569319;22491;PACK OF 12 COLOURED PENCILS;12;20111003;0.85;14290;United Kingdom
558232;20723;STRAWBERRY CHARLOTTE BAG;2;20110627;0.85;17841;United Kingdom
564754;72801G;4 BURGUNDY WINE DINNER CANDLES;1;20110830;2.46;;United Kingdom
545031;20977;36 PENCILS TUBE WOODLAND;16;20110225;1.25;15990;United Kingdom
552562;23170;REGENCY TEA PLATE ROSES ;12;20110510;1.65;17581;United Kingdom
568702;23071;MARIE ANTOINETTE TRINKET BOX GOLD;3;20110928;12.5;17950;United Kingdom
558087;21086;SET/6 RED SPOTTY PAPER CUPS;3;20110626;0.65;17323;United Kingdom
560926;90160D;PINK BOUDICCA LARGE BRACELET;3;20110722;7.07;;United Kingdom
544465;22937;BAKING MOULD CHOCOLATE CUPCAKES;1;20110220;2.55;13168;United Kingdom
538513;85084;HOLLY TOP CHRISTMAS STOCKING;4;20101212;0.85;15454;United Kingdom
555277;85040A;S/4 PINK FLOWER CANDLES IN BOWL;8;20110601;3.29;;United Kingdom
545580;21626;VINTAGE UNION JACK PENNANT;12;20110304;1.95;13931;United Kingdom
542255;79321;CHILLI LIGHTS;1;20110126;9.96;;United Kingdom
566060;23326;HANGING MINI COLOURED BOTTLES;3;20110908;8.29;;United Kingdom
545218;22384;LUNCH BAG PINK POLKADOT;10;20110228;1.65;17462;United Kingdom
C569743;23203;JUMBO BAG VINTAGE DOILY ;-220;20111006;1.79;15769;United Kingdom
557057;22956;36 FOIL HEART CAKE CASES;12;20110616;2.1;16843;United Kingdom
564572;22961;JAM MAKING SET PRINTED;12;20110826;1.45;15078;United Kingdom
558631;23321;SMALL WHITE HEART OF WICKER;3;20110630;1.65;17921;United Kingdom
557493;21094;SET/6 RED SPOTTY PAPER PLATES;3;20110620;2.46;;United Kingdom
548358;37448;CERAMIC CAKE DESIGN SPOTTED MUG;12;20110330;1.49;15832;United Kingdom
541497;20963;APPLE BATH SPONGE;1;20110118;2.46;;United Kingdom
574063;23275;SET OF 3 HANGING OWLS OLLIE BEAK;1;20111102;1.25;13271;United Kingdom
567474;85150;LADIES & GENTLEMEN METAL SIGN;6;20110920;2.55;13448;United Kingdom
559055;22077;6 RIBBONS RUSTIC CHARM;3;20110705;3.29;;United Kingdom
542226;84997C;BLUE 3 PIECE POLKADOT CUTLERY SET;2;20110126;3.75;17075;United Kingdom
579167;23169;CLASSIC GLASS COOKIE JAR;2;20111128;4.15;16800;United Kingdom
548534;22179;SET 10 LIGHTS NIGHT OWL;6;20110331;6.75;18172;United Kingdom
574661;22457;NATURAL SLATE HEART CHALKBOARD ;6;20111106;2.95;13447;United Kingdom
570423;20727;LUNCH BAG  BLACK SKULL.;5;20111010;1.65;14451;United Kingdom
574074;21313;GLASS HEART T-LIGHT HOLDER ;4;20111102;1.63;;United Kingdom
550458;37476;CONDIMENT TRAY 4 BOWLS AND 4 SPOONS;3;20110418;8.29;;United Kingdom
542607;22777;GLASS CLOCHE LARGE;1;20110130;8.5;13148;United Kingdom
574240;23083;SET 6 PAPER TABLE LANTERN STARS ;1;20111103;3.75;15998;United Kingdom
554098;23108;SET OF 10 LED DOLLY LIGHTS;2;20110522;6.25;14769;United Kingdom
561799;22485;SET OF 2 WOODEN MARKET CRATES;2;20110729;12.75;15776;United Kingdom
562593;84536B;FAIRY CAKES NOTEBOOK A7 SIZE;4;20110807;0.42;16549;United Kingdom
572301;23417;BATHROOM HOOK;1;20111023;1.65;16794;United Kingdom
C560902;22508;DOORSTOP RETROSPOT HEART;-4;20110721;3.75;17593;United Kingdom
570374;23163;REGENCY SUGAR TONGS;4;20111010;2.49;14719;United Kingdom
546951;21671;RED SPOT CERAMIC DRAWER KNOB;6;20110318;1.25;17673;United Kingdom
566930;23202;JUMBO BAG VINTAGE LEAF;10;20110915;2.08;15417;United Kingdom
581404;72741;GRAND CHOCOLATECANDLE;9;20111208;1.45;13680;United Kingdom
560434;22608;PENS ASSORTED FUNKY JEWELED ;15;20110718;0.42;;United Kingdom
580136;23133;LARGE IVORY HEART WALL ORGANISER;1;20111201;8.25;17841;United Kingdom
573397;23489;VINTAGE BELLS GARLAND;2;20111030;2.89;15547;United Kingdom
570488;21916;SET 12 RETRO WHITE CHALK STICKS;8;20111010;0.83;14096;United Kingdom
548367;21056;DOCTOR'S BAG SOFT TOY;2;20110330;8.95;17677;United Kingdom
C570508;21626;VINTAGE UNION JACK PENNANT;-12;20111011;1.95;15706;United Kingdom
568686;23166;MEDIUM CERAMIC TOP STORAGE JAR;2;20110928;1.25;16115;United Kingdom
566305;23320;GIANT 50'S CHRISTMAS CRACKER;12;20110912;2.89;14110;United Kingdom
